original,synthetic,label
 clinton and trump now both blaming media for campaign coverage,hillary clinton takes on president trump s pain over fake news media,1
 daily news foundation justice department for on trump talks,daily news the foundation sued department of justice thursday demanding copies three,0
 joy reid trump ending because he s married to an immigrant,joy reid claims on rachel show august where she essentially called president trump for,1
 jennifer lawrence suggests hurricanes are mother nature s rage for voting trump,hurricanes and are mother nature s rage being unleashed on america for voting channel,0
 breaking gang acid attack in london tube station,dna war on of injuries at dramatic video and images shared social to,1
 the ghost of mike,the ghost of michael this white house he only served as adviser for,0
 espn s hill nascar for welcoming confederate flags,espn s hill ripped nascar in a on sunday for welcoming confederate flags team,1
 mike looks presidential donald trump t,role of trump the vice president to serve as a lightning heat,0
 and open to announce new title policy,world s the of politics is a dangerous place since you never know alliances,1
 the view from khan a syrian describes the attack s aftermath,the view from khan a syrian describes attack s aftermath for,0
 police florida on heroin with infants in back seat,o and allegedly shot some heroin while inside a car with their infant months,1
 dubai to its police state becoming ground zero for cities of the future,most readers and certainly this writer will likely never visit the priced dubai,0
 ryanair full list of cancellations,ryanair has rocker for full details of which its flights are being that,1
 trump leveled by tuesday night warrant details,fall in the of chaos surrounding president trump s attack on a airbase,0
 the real deep state sabotage is happening at the fed,trump s officials are notorious for their suspicion that a deep state of career,1
 north korea will test missiles weekly senior official tells bbc,north korea threatens to test missiles a senior official has told bbc condemnation,0
 president trump former sheriff joe,trump s war on controversial former sheriff joe for a misdemeanor criminal contempt conviction,1
 trump s problem,role of today about how trump has become a normal republican at least time,0
 the fight for control of the heritage foundation,shock to over the removal of president heritage foundation jim is,1
 lawyer aaron hernandez had severe,chair calls on could explain a lot about aaron hernandez s violent turn worse,0
 vegas single or multiple veterans today,here s why trump and the wounded this was a terrible incident in part,1
 trump saw a disturbing video then he shut down the cia s covert syria program,role of in play behind trump s decision to end the cia covert,0
 gun control medication control prescription drugs kill more americans each day than the entire casualty count from the las vegas massacre,america s support outraged over the slaughter of innocent in las vegas two days,1
 takes shots at russia in ukrainian independence day message,secretary to state on wednesday used the occasion of ukrainian independence day in,0
 paul ryan unleashed new house budget any and all funding of trump border wall,couple seek was snapped wishing the bride and her well posed photos at,1
 a chart sure to make trump s day,trump s attorneys favorite thing in the world have largely turned against him he,0
 white house off call for congress to act after las vegas massacre,trump s plan has literally off concerns about working on gun safety legislation press,1
 ignore contractors building border wall samples,dozens of big step forward in the process towards constructing president trump s border,0
 ignore contractors building border wall samples,dozens of big step forward in the process towards constructing president trump s border,0
